ID,Trait Name,Trait Name ID,Custom Trait Name,Trait Description,Description ID,Custom Trait Description,Type,Repeatable,Length,EventTrigger,Requirement,Probability,Evolves Into,Opposites,Removes Traits,Triggers,Shown,All Stats,Braking,Cornering,Smoothness,Overtaking,Consistency,Adaptability,Fitness,Feedback,Focus,Special Case,Special Case Text,Special Case Description,Marketability,Morale,Mechanic,Teammate,Chairman,Improveability,Potential,Fuel Burn,Tyre Wear,Desired Wins,Desired Earnings,Patience
267,Singapore Expert,PSG_10009043,,""I know it like the back of my hand."",PSG_10002682,,Permanent,,,,,,,,267,Source = RaceExpert,PlayerDriverOnly,+2,,,,,,,,,,Singapore,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
268,Beijing Expert,PSG_10009044,,""I know it like the back of my hand."",PSG_10002682,,Permanent,,,,,,,,268,Source = RaceExpert,PlayerDriverOnly,+2,,,,,,,,,,Beijing,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
269,Dubai Expert,PSG_10009045,,""I know it like the back of my hand."",PSG_10002682,,Permanent,,,,,,,,269,Source = RaceExpert,PlayerDriverOnly,+2,,,,,,,,,,Dubai,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
270,Tondela Expert,PSG_10009046,,""I know it like the back of my hand."",PSG_10002682,,Permanent,,,,,,,,270,Source = RaceExpert,PlayerDriverOnly,+2,,,,,,,,,,Tondela,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
271,Rio De Janeiro Expert,PSG_10009047,,""I know it like the back of my hand."",PSG_10002682,,Permanent,,,,,,,,271,Source = RaceExpert,PlayerDriverOnly,+2,,,,,,,,,,RioDeJaneiro,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
272,Black Sea Expert,PSG_10009048,,""I know it like the back of my hand."",PSG_10002682,,Permanent,,,,,,,,272,Source = RaceExpert,PlayerDriverOnly,+2,,,,,,,,,,BlackSea,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
273,Sydney Expert,PSG_10009049,,""I know it like the back of my hand."",PSG_10002682,,Permanent,,,,,,,,273,Source = RaceExpert,PlayerDriverOnly,+2,,,,,,,,,,Sydney,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
274,Vancouver Expert,PSG_10009050,,""I know it like the back of my hand."",PSG_10002682,,Permanent,,,,,,,,274,Source = RaceExpert,PlayerDriverOnly,+2,,,,,,,,,,Vancouver,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
275,Reigning {Tier1} Champion,PSG_10011083,,""It's just nice to have <i>confirmation</i> that I'm the best."",PSG_10011084,,Temp,Yes,50,PostRace,WonChampionship = True; Tier = 1,100,,,275,Source = DCChampion,PlayerDriverOnly,,,,,,,,,,,,,,40,50,10,,10,,,,,,,
276,Reigning {Tier2} Champion,PSG_10011085,,""It's just nice to have <i>confirmation</i> that I'm the best."",PSG_10011084,,Temp,Yes,50,PostRace,WonChampionship = True; Tier = 2,100,,,276,Source = DCChampion,PlayerDriverOnly,,,,,,,,,,,,,,30,50,10,,10,,,,,,,
277,Reigning {Tier3} Champion,PSG_10011086,,""It's just nice to have <i>confirmation</i> that I'm the best."",PSG_10011084,,Temp,Yes,50,PostRace,WonChampionship = True; Tier = 3,100,,,277,Source = DCChampion,PlayerDriverOnly,,,,,,,,,,,,,,20,50,10,,10,,,,,,,
300,Reigning {Tier1GT} Champion,PSG_10012171,,""It's just nice to have <i>confirmation</i> that I'm the best."",PSG_10011084,,Temp,Yes,50,PostRace,WonChampionship = True; TierGT = 1,100,,,300,Source = DCChampion,PlayerDriverOnly,,,,,,,,,,,,,,30,50,10,,10,,,,,,,
301,Reigning {Tier2GT} Champion,PSG_10012172,,""It's just nice to have <i>confirmation</i> that I'm the best."",PSG_10011084,,Temp,Yes,50,PostRace,WonChampionship = True; TierGT = 2,100,,,301,Source = DCChampion,PlayerDriverOnly,,,,,,,,,,,,,,20,50,10,,10,,,,,,,
278,Mentor,PSG_10011384,,""I live to teach."",PSG_10011397,,Permanent,,,,"AtPeak = True
",35,,279,278,Source = Mentor,PlayerDriverOnly,,,,,,,,,,,MentorImproveabilityBoost,"Helps teammates to improve faster.
",PSG_10011410,,,,,,,,,,,,
279,Resource Hog,PSG_10011385,,""I'm the boss around here!"",PSG_10011398,,Permanent,,,,"AtPeak = True
",35,,278,279,Source = ResourceHog,PlayerDriverOnly,,,,,,,,,,,MentorImproveabilityDebuff,"Teammates will not improve as quickly.
",PSG_10011411,,,,,,,,,,,,
280,Inflated Ego,PSG_10011374,,""You're lucky to have a guy like me!"",PSG_10011375,,Temp,,15,PostRace,ConsecutiveWins > 2,35,,,280,Source = InflatedEgo,PlayerDriverOnly,,,,,,,,,,,,,,15,10,-10,,-5,,,,,,500,
281,Offended,PSG_10011376,,""How <i>dare</i> you!"",PSG_10011377,,Temp,,50,,,,,,281;282,Source = Offended,,,,,,,,,,,,OffendedByInterview,Driver won't even discuss terms with you.,PSG_10011412,,,,,,,,,,,,
282,Buttered Up,PSG_10011378,,""You sure know how to make a guy feel special!"",PSG_10011379,,Temp,,50,,,,,,282;281,Source = ButteredUp,,,,,,,,,,,,ButteredUpByInterview,Driver is open to discussing terms with you.,PSG_10011413,,,,,,,,,,,,
283,Hates Authority,PSG_10011386,,""Stick it to the man!"",PSG_10011399,,Permanent,,,,,,,,283,,,,,,,,,,,,,,,,,,,,-35,,,,,,,
284,Spendthrift,PSG_10011387,,""What's the point in making money if you can't spend it!"",PSG_10011400,,Permanent,,,,,,,,284,,,,,,,,,,,,,,,,,,,,,,,,,,250,
285,Fight With Fans,PSG_10011380,,"""They <i>worship</i> me, they'll come back...""",PSG_10011381,,Temp,,12,PostRace,BadResult = True,10,,,285,Source = FightWithFans,PlayerDriverOnly,,,,,,,,,,,,,,-100,,,,,,,,,,,
286,Controversial,PSG_10011388,,""Race sprinklers are the way forward!"",PSG_10011401,,Permanent,,,,,,,,286,,,,,,,,,,,,,,,,25,,,,-15,,,,,,,
287,Hothead,PSG_10011389,,""AARRRGGHH!"",PSG_10011402,,Permanent,,,,,,,,287,,,,,,,2,,,,,-1,,,,10,,-25,,,,,,,,,
288,Hedonist,PSG_10011390,,""Let's have a good time!"",PSG_10011403,,Permanent,,,,,,,,288,,,,,,,,,,,,-1,,,,5,,,,-5,-5,,,,,,
289,Media Trained,PSG_10011391,,""That's a great question! Which I'm afraid I can't answer."",PSG_10011404,,Permanent,,,,,,,3; 290,289; 290;3,,,,,,,,,,,,,,,,15,,,,5,,,,,,,
290,Dull Interviewee,PSG_10011392,,"""I just want to thank the team, the fans, the car, the stewards...""",PSG_10011405,,Permanent,,,,,,,289,290,,,,,,,,,,,,,,,,-15,,,,5,,,,,,,
291,Dangerous Dueler,PSG_10011393,,""Excuse me! Coming through!"",PSG_10011406,,Permanent,,,,,,,,291,,,,,,,4,-2,,,,-4,OneOnOne,Only applies when there is exactly 1 other car within 1 second of the driver on track.,PSG_10009840,,,,,,,,,,,,
292,Complacent,PSG_10011382,,""Life is pretty great as the backup!"",PSG_10011383,,Temp,,20,PostRace,ReserveDriver = True; RacesSinceLastDrive > 4,25,,5; 16; 26,292,Source = Complacent,PlayerDriverOnly,,,,,,,,,,-1,,,,,5,,,,-25,,,,,,
293,Single Seater Expert,PSG_10011394,,""Single Seaters are in my blood!"",PSG_10011407,,Permanent,,,,,,,,293,,,,2,,,2,,2,,,,SingleSeaters,Only applies when driving in Single Seaters.,PSG_10011414,,,,,,,,,,,,
294,GT Expert,PSG_10011395,,""GT is in my blood!"",PSG_10011408,,Permanent,,,,,,,,294,,,,,2,2,,2,,,,,GTSeries,Only applies when driving in GT Series.,PSG_10011415,,,,,,,,,,,,
295,Hidden Potential,PSG_10011396,,""I'm using parts of my brain I never knew I had!"",PSG_10011409,,Permanent,,,,AtPeak = False,10,,,295,Source = HiddenPotential,PlayerDriverOnly,,,,,,,,,,,,,,,,,,,,50,,,,,
296,Shock Retirement,PSG_10011772,,""I've achieved all that I want to. Bye!"",PSG_10011773,,Temp,,1,PostRace,WonChampionship = True; Age > 24; Tier = 1,2,,,296,Source = ShockRetirement,,,,,,,,,,,,ShockRetirement,Driver will retire very soon.,PSG_10011774,,,,,,,,,,,,
297,Enthusiastic,PSG_10001356,,""I can't wait to get to work every day!"",PSG_10002622,,Permanent,,,,,,,17,297,,,,,,,,,,,1,,,,,,,,10,,10,,,,,,
